acceleration_x.mean,velocity_x.mean,position_x.mean,acceleration_z.mean,velocity_z.mean,position_z.mean
0.00187624,0,0,0.005314509,0,0
0.000523361,0,0,0.004420563,0,0
-0.000829518,0,0,0.003526617,0,0
-0.002182397,0,0,0.002632671,0,0
-0.003535276,0,0,0.001738725,0,0
-0.004888155,0,0,0.000844779,0,0
-0.006241034,0,0,-4.92E-05,0,0
-0.006283214,0,0,-5.74E-05,0,0
-0.006325394,0,0,-6.56E-05,0,0
-0.006367574,0,0,-7.38E-05,0,0
-0.006409754,0,0,-8.20E-05,0,0
-0.006451935,0,0,-9.01E-05,0,0
-0.005366113,0,0,0.000198938,0,0
-0.004280292,0,0,0.000488024,0,0
-0.003194471,0,0,0.000777109,0,0
-0.00210865,0,0,0.001066195,0,0
-0.001022828,0,0,0.001355281,0,0
6.30E-05,0,0,0.001644366,0,0
-0.000649064,0,0,0.000576063,0,0
-0.001361121,0,0,-0.00049224,0,0
-0.002073178,0,0,-0.001560543,0,0
-0.002785235,0,0,-0.002628846,0,0
-0.003497292,0,0,-0.003697149,0,0
-0.004209349,0,0,-0.004765452,0,0
-0.005027196,0,0,-0.004467808,0,0
-0.005845043,0,0,-0.004170163,0,0
-0.006662889,0,0,-0.003872518,0,0
-0.007480736,0,0,-0.003574873,0,0
-0.008298583,0,0,-0.003277228,0,0
-0.00911643,0,0,-0.002979583,0,0
-0.008197909,0,0,-0.001848888,0,0
-0.007279388,0,0,-0.000718192,0,0
-0.006360867,0,0,0.000412504,0,0
-0.005442346,0,0,0.001543199,0,0
-0.00425552,0,0,0.00086522,0,0
-0.003068694,0,0,0.00018724,0,0
-0.001881868,0,0,-0.00049074,0,0
-0.000695042,0,0,-0.001168719,0,0
0.000491784,0,0,-0.001846699,0,0
0.00167861,0,0,-0.002524678,0,0
0.000566076,0,0,-0.001111189,0,0
-0.000546459,0,0,0.000302301,0,0
-0.001658994,0,0,0.001715791,0,0
-0.002771529,0,0,0.00312928,0,0
-0.003884064,0,0,0.00454277,0,0
-0.00381176,0,0,0.00377558,0,0
-0.003739456,0,0,0.003008391,0,0
-0.003667152,0,0,0.002241201,0,0
-0.003594848,0,0,0.001474011,0,0
-0.003522544,0,0,0.000706822,0,0
-0.00345024,0,0,-6.04E-05,0,0
-0.003377936,0,0,-0.000827557,0,0
-0.003558978,0,0,-0.000838195,0,0
-0.003740019,0,0,-0.000848833,0,0
-0.003921061,0,0,-0.00085947,0,0
-0.004102103,0,0,-0.000870108,0,0
-0.004283144,0,0,-0.000880745,0,0
-0.004464186,0,0,-0.000891383,0,0
-0.004275502,0,0,0.000178392,0,0
-0.004086818,0,0,0.001248167,0,0
-0.003898134,0,0,0.002317942,0,0
-0.00370945,0,0,0.003387716,0,0
-0.003993535,0,0,0.002968262,0,0
-0.004277619,0,0,0.002548808,0,0
-0.004561704,0,0,0.002129354,0,0
-0.004845789,0,0,0.001709899,0,0
-0.005129873,0,0,0.001290445,0,0
-0.005413958,0,0,0.000870991,0,0
-0.005698043,0,0,0.000451537,0,0
-0.005029753,0,0,0.000413269,0,0
-0.004361463,0,0,0.000375001,0,0
-0.003693173,0,0,0.000336733,0,0
-0.003024883,0,0,0.000298465,0,0
-0.002356594,0,0,0.000260197,0,0
-0.001688304,0,0,0.000221929,0,0
-0.000800391,0,0,0.000874998,0,0
8.75E-05,0,0,0.001528066,0,0
0.000975434,0,0,0.002181135,0,0
0.001863347,0,0,0.002834203,0,0
0.00275126,0,0,0.003487272,0,0
0.000959573,0,0,0.00324204,0,0
-0.000832114,0,0,0.002996808,0,0
-0.002623801,0,0,0.002751576,0,0
-0.004415488,0,0,0.002506344,0,0
-0.006207175,0,0,0.002261112,0,0
-0.007998861,0,0,0.00201588,0,0
-0.007486579,0,0,0.001741651,0,0
-0.006974297,0,0,0.001467422,0,0
-0.006462015,0,0,0.001193193,0,0
-0.005949733,0,0,0.000918964,0,0
-0.005437451,0,0,0.000644736,0,0
-0.004925169,0,0,0.000370507,0,0
-0.004412887,0,0,9.63E-05,0,0
-0.004044119,0,0,0.002519395,0,0
-0.003675351,0,0,0.004942511,0,0
-0.003306583,0,0,0.007365628,0,0
-0.002937815,0,0,0.009788744,0,0
-0.002512159,0,0,0.008752438,0,0
-0.002086504,0,0,0.007716132,0,0
-0.001660849,0,0,0.006679826,0,0
-0.001235193,0,0,0.00564352,0,0
-0.000809538,0,0,0.004607214,0,0
-0.000383883,0,0,0.003570908,0,0
4.18E-05,0,0,0.002534602,0,0
-0.000591746,0,0,0.00197373,0,0
-0.001225265,0,0,0.001412857,0,0
-0.001858784,0,0,0.000851985,0,0
-0.002492303,0,0,0.000291113,0,0
-0.001819363,0,0,0.001335464,0,0
-0.001146424,0,0,0.002379816,0,0
-0.000473485,0,0,0.003424167,0,0
0.000199454,0,0,0.004468519,0,0
0.000872393,0,0,0.00551287,0,0
0.001545332,0,0,0.006557222,0,0
0.002218271,0,0,0.007601574,0,0
-0.000226958,0,0,0.005229899,0,0
-0.002672188,0,0,0.002858224,0,0
-0.005117417,0,0,0.00048655,0,0
-0.007562647,0,0,-0.001885125,0,0
-0.006222011,0,0,-0.001423498,0,0
-0.004881375,0,0,-0.000961871,0,0
-0.003540739,0,0,-0.000500244,0,0
-0.002200103,0,0,-3.86E-05,0,0
-0.000859467,0,0,0.00042301,0,0
0.000481169,0,0,0.000884637,0,0
0.001821805,0,0,0.001346264,0,0
-0.00069884,0,0,0.00111329,0,0
-0.003219484,0,0,0.000880316,0,0
-0.005740129,0,0,0.000647342,0,0
-0.008260773,0,0,0.000414368,0,0
-0.007114103,0,0,0.001024552,0,0
-0.005967433,0,0,0.001634736,0,0
-0.004820763,0,0,0.002244919,0,0
-0.003674092,0,0,0.002855103,0,0
-0.002527422,0,0,0.003465287,0,0
-0.001380752,0,0,0.00407547,0,0
-0.000234081,0,0,0.004685654,0,0
-0.000857573,0,0,0.0044906,0,0
-0.001481064,0,0,0.004295545,0,0
-0.002104555,0,0,0.004100491,0,0
-0.002728046,0,0,0.003905437,0,0
-0.002049348,0,0,0.003782939,0,0
-0.001370649,0,0,0.00366044,0,0
-0.00069195,0,0,0.003537942,0,0
-1.33E-05,0,0,0.003415444,0,0
0.000665448,0,0,0.003292946,0,0
0.001344147,0,0,0.003170448,0,0
0.001274025,0,0,0.00335652,0,0
0.001203903,0,0,0.003542592,0,0
0.001133781,0,0,0.003728664,0,0
0.001063659,0,0,0.003914736,0,0
0.000993538,0,0,0.004100808,0,0
-0.000327312,0,0,0.003560446,0,0
-0.001648163,0,0,0.003020084,0,0
-0.002969013,0,0,0.002479722,0,0
-0.004289863,0,0,0.001939359,0,0
-0.005610713,0,0,0.001398997,0,0
-0.006931563,0,0,0.000858635,0,0
-0.008252413,0,0,0.000318273,0,0
-0.006865333,0,0,0.000653264,0,0
-0.005478253,0,0,0.000988255,0,0
-0.004091174,0,0,0.001323247,0,0
-0.002704094,0,0,0.001658238,0,0
-0.001317014,0,0,0.001993229,0,0
7.01E-05,0,0,0.00232822,0,0
-0.001950224,0,0,0.001438349,0,0
-0.003970514,0,0,0.000548478,0,0
-0.005990804,0,0,-0.000341393,0,0
-0.008011093,0,0,-0.001231264,0,0
-0.006619242,0,0,-0.000501113,0,0
-0.005227391,0,0,0.000229037,0,0
-0.00383554,0,0,0.000959188,0,0
-0.00244369,0,0,0.001689339,0,0
-0.001051839,0,0,0.002419489,0,0
0.000340012,0,0,0.00314964,0,0
0.000240927,0,0,0.002350764,0,0
0.000141841,0,0,0.001551888,0,0
4.28E-05,0,0,0.000753012,0,0
-5.63E-05,0,0,-4.59E-05,0,0
-0.000155415,0,0,-0.000844739,0,0
-0.000335364,0,0,-0.000305778,0,0
-0.000515313,0,0,0.000233183,0,0
-0.000695263,0,0,0.000772144,0,0
-0.000875212,0,0,0.001311105,0,0
-0.001055161,0,0,0.001850067,0,0
-0.00123511,0,0,0.002389028,0,0
-0.000742939,0,0,0.001536919,0,0
-0.000250769,0,0,0.00068481,0,0
0.000241402,0,0,-0.000167299,0,0
0.000733573,0,0,-0.001019408,0,0
0.001225744,0,0,-0.001871517,0,0
0.001717915,0,0,-0.002723625,0,0
0.001614753,0,0,-0.002342017,0,0
0.001511592,0,0,-0.001960409,0,0
0.00140843,0,0,-0.0015788,0,0
0.001305268,0,0,-0.001197192,0,0
0.001202107,0,0,-0.000815583,0,0
0.001098945,0,0,-0.000433975,0,0
-0.000749198,0,0,-0.000546241,0,0
-0.002597342,0,0,-0.000658507,0,0
-0.004445485,0,0,-0.000770773,0,0
-0.006293629,0,0,-0.000883039,0,0
-0.008141772,0,0,-0.000995305,0,0
-0.009989915,0,0,-0.001107571,0,0
-0.006710438,0,0,-0.000439219,0,0
-0.00343096,0,0,0.000229134,0,0
-0.000151483,0,0,0.000897487,0,0
0.003127995,0,0,0.001565839,0,0
0.00211634,0,0,0.001564375,0,0
0.001104686,0,0,0.00156291,0,0
9.30E-05,0,0,0.001561446,0,0
-0.000918623,0,0,0.001559981,0,0
-0.001930277,0,0,0.001558517,0,0
-0.002941932,0,0,0.001557052,0,0
-0.00262018,0,0,0.001564644,0,0
-0.002298429,0,0,0.001572236,0,0
-0.001976677,0,0,0.001579827,0,0
-0.001654926,0,0,0.001587419,0,0
-0.001333174,0,0,0.001595011,0,0
-0.001011423,0,0,0.001602603,0,0
-0.000689671,0,0,0.001610194,0,0
-0.001467876,0,0,0.002389654,0,0
-0.002246081,0,0,0.003169115,0,0
-0.003024286,0,0,0.003948575,0,0
-0.003802491,0,0,0.004728035,0,0
-0.004580696,0,0,0.005507496,0,0
-0.005358901,0,0,0.006286956,0,0
-0.004595482,0,0,0.006053409,0,0
-0.003832063,0,0,0.005819863,0,0
-0.003068644,0,0,0.005586316,0,0
-0.002305225,0,0,0.00535277,0,0
-0.001541806,0,0,0.005119223,0,0
-0.000778387,0,0,0.004885676,0,0
-0.000981341,0,0,0.005949794,0,0
-0.001184295,0,0,0.007013912,0,0
-0.001387249,0,0,0.00807803,0,0
-0.001590203,0,0,0.009142148,0,0
